environment,media_s1,absente,comportament,trece
urban,9.3,6.0,0.26,1
urban,6.8,1.0,0.82,1
rural,7.08,6.0,,1
rural,7.8,10.0,0.78,1
rural,5.42,2.0,0.7,1
rural,7.91,7.0,0.59,1
rural,6.27,9.0,0.34,1
rural,5.21,8.0,0.92,1
rural,8.15,4.0,0.65,1
rural,9.98,6.0,0.89,1
rural,8.45,5.0,0.45,1
urban,8.85,4.0,0.41,1
rural,5.96,6.0,0.08,1
urban,3.8,6.0,0.34,1
urban,9.98,5.0,0.39,1
rural,10.0,10.0,0.49,1
rural,10.0,4.0,,1
urban,6.33,9.0,,1
urban,4.69,,0.51,0
rural,4.87,5.0,0.85,1
urban,3.63,7.0,0.13,0
rural,6.79,6.0,0.57,1
rural,10.0,5.0,0.54,1
rural,6.72,3.0,0.16,1
urban,,9.0,0.25,0
urban,9.75,6.0,0.5,1
rural,6.19,1.0,0.52,1
urban,,5.0,0.9,0
urban,10.0,3.0,0.16,1
urban,6.74,5.0,0.3,1
urban,5.84,3.0,0.24,1
urban,8.39,3.0,0.78,1
urban,6.3,3.0,,1
urban,4.69,3.0,0.9,1
rural,9.56,4.0,0.93,1
urban,9.43,1.0,0.11,1
urban,7.31,0.0,0.22,1
urban,4.47,2.0,0.38,0
urban,4.54,4.0,0.87,0
urban,7.21,6.0,0.12,1
urban,6.0,4.0,0.34,1
urban,6.32,6.0,0.7,1
urban,9.04,2.0,0.72,1
rural,8.47,3.0,0.36,1
urban,9.76,5.0,0.96,1
urban,5.02,4.0,0.35,1
urban,6.31,4.0,0.61,1
urban,8.52,7.0,0.62,1
rural,7.9,4.0,0.8,1
rural,10.0,6.0,0.36,1
rural,7.84,2.0,0.41,1
rural,10.0,9.0,0.42,1
rural,8.08,3.0,0.06,1
rural,9.12,6.0,0.73,1
rural,6.35,6.0,0.77,1
rural,7.03,4.0,0.82,1
rural,8.82,6.0,0.71,1
rural,10.0,6.0,0.59,1
rural,8.46,7.0,0.56,1
rural,6.83,8.0,0.64,1
rural,9.75,2.0,0.01,1
rural,2.62,5.0,0.45,0
rural,4.16,4.0,0.04,1
rural,,5.0,0.49,0
urban,7.03,7.0,0.15,1
rural,8.21,3.0,0.01,1
urban,7.13,8.0,0.73,1
rural,8.14,7.0,0.7,1
rural,5.37,3.0,0.39,1
urban,8.14,2.0,0.07,1
rural,8.99,9.0,,1
urban,9.44,6.0,0.15,1
urban,10.0,2.0,0.49,1
urban,7.49,6.0,0.27,1
rural,7.55,7.0,0.13,1
rural,3.95,5.0,,1
rural,5.94,8.0,0.2,1
urban,6.61,4.0,0.36,1
urban,,7.0,0.61,0
rural,5.78,2.0,0.39,1
rural,8.59,5.0,0.52,1
rural,7.0,2.0,0.23,1
rural,6.65,4.0,0.7,1
rural,7.5,11.0,0.63,1
urban,6.22,4.0,0.69,1
urban,6.14,6.0,0.34,1
urban,3.59,7.0,0.94,1
rural,6.5,5.0,0.62,1
urban,6.04,4.0,0.13,1
urban,5.97,7.0,,1
urban,7.83,6.0,0.57,1
urban,8.32,8.0,,1
urban,7.46,5.0,0.37,1
rural,8.99,4.0,0.44,1
urban,8.15,4.0,0.73,1
rural,6.41,6.0,0.87,1
rural,6.07,6.0,0.96,1
rural,7.63,11.0,0.99,1
rural,8.15,5.0,0.6,1
rural,9.8,3.0,0.09,1
urban,9.38,6.0,0.58,1
urban,5.92,9.0,0.2,1
rural,6.8,2.0,0.65,1
rural,8.34,4.0,0.34,1
rural,9.14,2.0,0.52,1
urban,8.88,3.0,0.66,1
rural,6.87,5.0,0.91,1
urban,4.49,2.0,0.79,0
rural,5.0,6.0,0.02,1
urban,7.55,5.0,0.15,1
rural,7.68,5.0,0.87,1
urban,4.8,2.0,0.74,1
rural,7.09,5.0,0.15,1
urban,8.26,5.0,0.59,1
urban,4.7,7.0,0.59,1
urban,9.21,5.0,0.77,1
urban,6.24,,0.81,0
urban,9.52,3.0,0.67,1
urban,5.93,5.0,0.71,1
urban,4.95,5.0,0.67,1
rural,6.08,7.0,0.15,1
rural,6.81,4.0,0.68,1
rural,6.22,5.0,0.47,1
rural,6.57,4.0,0.98,1
rural,7.67,7.0,0.71,1
urban,,4.0,0.37,0
urban,6.87,7.0,0.91,1
urban,3.58,5.0,0.23,0
urban,7.78,4.0,0.47,1
urban,6.82,7.0,0.06,1
rural,10.0,,0.63,0
rural,5.12,0.0,0.56,1
rural,3.38,8.0,0.5,0
rural,8.24,5.0,0.21,1
urban,7.69,4.0,0.49,1
urban,4.98,4.0,0.46,0
urban,3.94,5.0,0.02,1
rural,10.0,4.0,0.16,1
urban,9.83,6.0,0.9,1
rural,2.03,10.0,0.79,0
urban,6.08,6.0,,1
urban,10.0,5.0,0.97,1
rural,6.05,2.0,0.47,1
urban,6.02,5.0,0.75,1
urban,6.43,8.0,0.54,1
rural,4.76,6.0,,0
urban,3.59,4.0,0.66,0
rural,9.11,6.0,0.07,1
urban,3.31,7.0,0.91,1
urban,7.49,6.0,0.77,1
urban,8.77,,0.22,0
urban,4.1,9.0,0.23,0
urban,5.15,4.0,0.69,1
urban,9.43,6.0,0.7,1
urban,8.07,5.0,0.09,1
urban,5.77,5.0,0.91,1
rural,9.4,3.0,0.75,1
rural,9.41,6.0,0.98,1
urban,7.54,10.0,0.43,1
urban,5.2,6.0,0.09,1
rural,6.17,5.0,0.91,1
urban,7.57,5.0,0.81,1
urban,6.62,9.0,0.0,1
rural,8.88,7.0,0.53,1
urban,3.94,5.0,0.01,1
urban,4.01,7.0,0.35,0
rural,7.36,6.0,0.87,1
urban,6.02,5.0,0.67,1
urban,5.75,6.0,0.85,1
rural,3.46,5.0,0.56,1
urban,7.04,6.0,0.77,1
rural,6.89,3.0,0.49,1
urban,8.31,8.0,0.5,1
urban,7.14,3.0,0.6,1
rural,6.73,3.0,0.14,1
rural,9.35,4.0,0.64,1
urban,4.38,,0.86,0
rural,8.07,4.0,0.16,1
rural,3.66,5.0,0.38,1
urban,5.32,6.0,0.92,1
urban,4.57,3.0,0.31,0
urban,8.56,5.0,0.88,1
rural,6.87,6.0,0.64,1
rural,6.97,6.0,0.84,1
rural,4.79,8.0,0.14,1
rural,6.4,8.0,,1
urban,5.47,4.0,0.03,1
rural,7.77,5.0,0.39,1
urban,5.02,4.0,0.28,1
rural,9.66,6.0,0.64,1
urban,3.65,4.0,,0
urban,,6.0,0.35,0
urban,10.0,4.0,0.84,1
rural,6.13,5.0,0.55,1
urban,4.37,4.0,0.75,1
urban,7.44,5.0,0.73,1
rural,6.05,3.0,0.14,1
urban,5.33,6.0,0.73,1
rural,4.81,8.0,0.83,0
rural,10.0,3.0,,1
urban,6.5,,0.16,0
urban,3.15,8.0,0.52,0
rural,9.99,3.0,,1
urban,8.22,5.0,0.37,1
rural,5.47,2.0,0.84,1
rural,5.13,4.0,0.1,1
rural,8.35,3.0,0.14,1
urban,6.51,6.0,0.12,1
rural,3.15,2.0,0.54,1
urban,10.0,3.0,,1
urban,6.13,1.0,0.82,1
urban,9.99,12.0,0.58,1
urban,9.56,,0.67,0
rural,5.0,6.0,0.31,1
urban,9.07,5.0,0.49,1
rural,5.7,3.0,0.37,1
rural,3.27,6.0,0.5,1
urban,6.15,3.0,0.69,1
rural,7.8,3.0,0.45,1
rural,,8.0,0.07,0
urban,6.39,5.0,,1
rural,9.29,6.0,0.89,1
rural,7.21,7.0,0.82,1
rural,5.31,4.0,0.83,1
rural,8.4,7.0,0.18,1
urban,7.4,4.0,0.08,1
rural,1.96,4.0,0.81,0
rural,7.86,4.0,0.67,1
rural,7.78,3.0,0.51,1
rural,7.04,5.0,0.69,1
urban,8.78,5.0,0.93,1
rural,5.66,9.0,0.13,1
urban,7.67,,0.17,0
rural,3.87,4.0,0.59,0
urban,7.81,7.0,0.71,1
urban,10.0,5.0,0.64,1
urban,5.01,6.0,0.25,1
urban,5.48,2.0,,1
urban,5.58,4.0,0.56,1
rural,7.26,7.0,0.02,1
rural,4.87,6.0,0.62,1
rural,7.84,2.0,0.45,1
urban,8.69,2.0,,1
rural,8.07,5.0,0.66,1
urban,3.46,3.0,0.55,0
urban,8.99,9.0,0.9,1
rural,8.87,1.0,0.66,1
rural,8.66,3.0,0.25,1
urban,7.75,8.0,0.47,1
urban,7.44,0.0,0.67,1
rural,9.06,6.0,,1
rural,10.0,3.0,0.28,1
rural,5.09,9.0,0.73,1
rural,9.16,5.0,0.68,1
urban,6.83,9.0,0.15,1
rural,,3.0,0.15,0
rural,3.93,,0.5,0
rural,6.43,2.0,0.41,1
urban,5.01,3.0,0.13,1
urban,6.07,3.0,0.09,1
urban,4.8,,0.9,0
urban,6.1,6.0,0.19,1
rural,6.19,2.0,0.37,1
urban,7.19,2.0,0.47,1
rural,3.77,6.0,0.08,1
rural,4.11,2.0,0.14,1
rural,7.72,8.0,0.53,1
rural,5.41,5.0,0.7,1
urban,9.15,2.0,0.84,1
urban,7.45,5.0,0.86,1
urban,8.21,6.0,0.55,1
rural,9.82,5.0,0.29,1
rural,6.38,7.0,0.58,1
rural,5.85,4.0,0.62,1
rural,8.74,6.0,0.29,1
rural,8.02,5.0,0.67,1
urban,6.63,5.0,0.17,1
rural,9.78,6.0,0.3,1
urban,6.58,6.0,0.93,1
rural,7.07,6.0,0.51,1
rural,7.04,3.0,0.15,1
urban,5.13,5.0,0.67,1
urban,7.16,5.0,0.23,1
rural,9.79,5.0,0.03,1
rural,7.89,3.0,0.87,1
rural,7.06,7.0,0.43,1
rural,6.68,2.0,0.78,1
urban,7.66,3.0,0.85,1
rural,8.5,5.0,0.57,1
urban,8.22,5.0,0.1,1
rural,6.34,7.0,0.32,1
urban,7.65,6.0,0.25,1
urban,7.96,6.0,0.6,1
rural,4.99,5.0,0.41,1
urban,7.34,3.0,0.41,1
rural,2.68,5.0,0.65,0
urban,7.97,3.0,0.03,1
rural,8.32,5.0,0.13,1
urban,8.5,6.0,0.89,1
rural,6.21,5.0,0.84,1
rural,7.62,4.0,0.94,1
urban,9.85,9.0,0.21,1
urban,9.83,3.0,0.34,1
urban,6.94,3.0,0.11,1
urban,7.28,6.0,0.64,1
rural,9.22,3.0,0.78,1
urban,4.0,5.0,0.62,1
rural,6.35,3.0,0.6,1
urban,9.67,4.0,0.8,1
rural,8.95,5.0,0.09,1
rural,7.74,,0.74,0
rural,3.99,4.0,0.89,1
rural,6.9,4.0,0.65,1
urban,5.82,2.0,0.68,1
urban,7.66,6.0,0.64,1
rural,5.38,4.0,0.82,1
urban,4.95,4.0,0.4,1
urban,2.87,,0.86,0
rural,,,0.27,0
urban,6.2,5.0,0.12,1
urban,7.31,10.0,0.06,1
urban,7.0,4.0,0.1,1
rural,,4.0,,0
urban,4.48,7.0,0.6,0
rural,4.99,6.0,0.64,0
urban,5.55,3.0,0.56,1
urban,7.73,5.0,0.21,1
urban,5.41,4.0,0.87,1
rural,10.0,,0.21,0
rural,9.05,5.0,0.83,1
urban,8.62,7.0,0.71,1
rural,6.76,4.0,0.36,1
urban,10.0,4.0,0.42,1
rural,6.56,6.0,0.81,1
rural,6.94,3.0,0.99,1
urban,7.34,6.0,0.24,1
urban,8.4,2.0,0.69,1
urban,8.27,4.0,0.07,1
urban,6.05,5.0,0.08,1
rural,5.93,2.0,0.45,1
rural,8.28,4.0,0.02,1
rural,8.43,5.0,0.91,1
urban,6.21,8.0,0.39,1
urban,3.83,5.0,0.38,1
rural,6.59,3.0,0.33,1
urban,8.25,6.0,0.3,1
rural,10.0,1.0,0.09,1
rural,4.6,2.0,0.61,1
rural,6.15,7.0,0.25,1
rural,6.22,5.0,,1
rural,9.71,6.0,0.34,1
urban,,6.0,0.34,0
urban,5.19,6.0,0.88,1
urban,8.12,6.0,0.47,1
rural,6.19,1.0,0.51,1
rural,4.55,1.0,0.78,1
rural,5.21,9.0,0.31,1
rural,10.0,6.0,0.76,1
urban,7.77,6.0,0.18,1
urban,7.22,1.0,0.71,1
rural,6.5,7.0,0.14,1
rural,7.58,4.0,0.69,1
rural,7.56,7.0,0.47,1
urban,7.58,,0.07,0
urban,7.23,7.0,0.6,1
urban,8.74,8.0,0.69,1
rural,7.05,2.0,0.2,1
rural,5.04,6.0,0.94,1
urban,5.78,1.0,0.23,1
rural,3.04,5.0,0.31,0
urban,10.0,2.0,0.74,1
rural,8.73,3.0,0.2,1
urban,5.34,3.0,0.92,1
rural,6.44,2.0,0.64,1
urban,5.73,5.0,0.75,1
urban,10.0,2.0,0.12,1
urban,4.16,9.0,0.82,0
urban,7.23,6.0,0.57,1
urban,6.78,4.0,0.77,1
urban,8.65,3.0,0.07,1
rural,6.79,5.0,0.61,1
rural,3.48,8.0,0.69,0
rural,6.5,11.0,0.49,1
urban,5.06,9.0,0.84,1
urban,7.16,6.0,0.94,1
rural,9.87,4.0,0.22,1
urban,3.52,3.0,,0
urban,5.4,4.0,0.77,1
urban,5.89,3.0,0.48,1
urban,6.24,7.0,0.06,1
urban,8.48,4.0,,1
rural,6.65,5.0,0.23,1
rural,7.83,2.0,0.0,1
rural,5.75,5.0,0.47,1
rural,7.46,5.0,0.37,1
rural,8.56,3.0,0.05,1
urban,5.54,6.0,0.24,1
urban,8.56,4.0,0.74,1
urban,7.1,7.0,0.81,1
urban,9.09,7.0,0.0,1
rural,6.6,4.0,0.11,1
rural,7.76,4.0,1.0,1
rural,6.92,4.0,0.65,1
urban,6.81,4.0,0.68,1
rural,7.52,6.0,0.38,1
urban,8.07,5.0,0.5,1
rural,4.5,2.0,0.51,0
rural,9.87,4.0,0.35,1
urban,3.28,7.0,0.69,0
urban,5.63,5.0,0.57,1
rural,6.81,6.0,0.94,1
rural,7.82,6.0,0.01,1
urban,10.0,2.0,0.89,1
rural,3.28,5.0,0.95,1
rural,,,0.15,0
urban,2.75,2.0,0.22,0
rural,7.06,9.0,,1
urban,7.54,3.0,0.24,1
rural,10.0,6.0,0.64,1
urban,7.24,4.0,0.22,1
rural,9.09,8.0,0.85,1
urban,8.17,5.0,0.91,1
rural,6.13,0.0,0.03,1
urban,4.18,7.0,0.51,1
rural,7.55,5.0,0.02,1
rural,4.02,4.0,0.62,1
rural,9.59,5.0,0.35,1
rural,6.68,,0.85,0
rural,9.39,4.0,0.92,1
rural,6.04,8.0,0.5,1
rural,7.54,6.0,0.95,1
rural,7.42,8.0,0.87,1
rural,6.91,9.0,0.1,1
urban,6.13,11.0,0.36,1
urban,7.78,6.0,0.34,1
rural,5.15,9.0,0.3,1
urban,4.58,5.0,0.8,0
rural,9.49,7.0,0.3,1
rural,8.45,3.0,0.38,1
urban,7.13,,0.09,0
rural,10.0,3.0,0.52,1
rural,6.46,8.0,0.12,1
urban,9.65,7.0,0.87,1
urban,7.35,1.0,0.8,1
rural,4.95,1.0,,1
urban,,3.0,0.0,0
urban,8.98,4.0,0.07,1
rural,6.76,3.0,0.22,1
urban,8.45,,0.5,0
urban,6.19,5.0,0.73,1
rural,8.66,,0.1,0
urban,2.22,3.0,0.71,0
urban,4.96,6.0,0.55,1
rural,8.96,7.0,0.62,1
rural,,3.0,0.93,0
rural,7.42,3.0,0.95,1
urban,4.31,3.0,0.74,1
rural,10.0,5.0,0.69,1
rural,9.38,5.0,0.76,1
urban,6.6,8.0,,1
rural,6.19,3.0,0.01,1
rural,9.06,6.0,1.0,1
rural,10.0,5.0,,1
rural,8.91,5.0,0.49,1
urban,10.0,6.0,0.45,1
rural,5.16,9.0,0.23,1
rural,5.36,3.0,0.48,1
urban,4.62,4.0,0.73,0
rural,7.88,3.0,0.25,1
urban,7.35,7.0,0.85,1
urban,6.7,1.0,0.21,1
urban,8.62,3.0,0.86,1
rural,9.46,3.0,0.58,1
urban,3.95,4.0,0.84,0
urban,5.81,3.0,0.42,1
urban,8.64,7.0,0.32,1
rural,6.06,4.0,0.7,1
rural,5.4,13.0,0.36,1
rural,9.04,8.0,0.95,1
rural,4.42,3.0,0.74,0
rural,6.4,7.0,0.43,1
rural,7.66,5.0,0.17,1
rural,5.85,0.0,0.56,1
urban,8.57,5.0,0.6,1
urban,,7.0,0.97,0
urban,9.82,12.0,0.74,1
urban,6.75,7.0,0.25,1
rural,8.34,0.0,0.26,1
urban,8.49,10.0,0.58,1
urban,5.74,6.0,0.12,1
urban,2.89,3.0,0.7,0
urban,7.72,3.0,0.08,1
rural,7.14,5.0,0.57,1
rural,8.11,5.0,0.98,1
rural,6.55,4.0,0.87,1
urban,6.14,3.0,0.84,1
rural,10.0,8.0,0.75,1
urban,4.06,6.0,0.93,0
rural,8.47,7.0,0.93,1
rural,5.85,9.0,0.16,1
rural,6.33,5.0,0.23,1
rural,6.37,6.0,0.92,1
rural,5.39,5.0,0.27,1
urban,8.14,4.0,0.38,1
rural,9.78,5.0,0.04,1
urban,7.94,4.0,0.9,1
urban,7.21,9.0,0.07,1
urban,5.03,5.0,0.53,1
urban,8.03,7.0,0.22,1
urban,10.0,5.0,0.03,1
rural,6.24,4.0,0.29,1
rural,6.25,7.0,0.66,1
rural,5.88,3.0,,1
rural,6.02,4.0,0.85,1
urban,1.51,5.0,0.69,0
rural,7.81,3.0,0.06,1
rural,5.31,5.0,0.4,1
urban,3.78,4.0,0.81,1
urban,8.51,2.0,0.93,1
rural,4.84,4.0,0.63,1
rural,6.32,6.0,0.68,1
urban,9.93,4.0,0.88,1
rural,4.18,5.0,0.45,0
rural,3.93,9.0,0.71,0
rural,,3.0,0.58,0
rural,9.3,4.0,0.7,1
urban,3.85,7.0,0.88,1
urban,7.82,3.0,0.79,1
urban,8.16,2.0,0.13,1
rural,2.88,3.0,,0
rural,8.6,5.0,0.05,1
rural,8.75,4.0,0.76,1
rural,6.38,4.0,0.29,1
rural,9.5,7.0,0.78,1
urban,9.27,7.0,0.01,1
rural,7.21,,0.22,0
rural,6.1,5.0,0.08,1
urban,5.05,1.0,0.75,1
rural,6.92,4.0,0.19,1
urban,8.14,5.0,0.93,1
urban,6.35,6.0,0.41,1
urban,2.6,7.0,0.72,0
urban,9.54,4.0,0.82,1
urban,7.38,5.0,0.95,1
rural,6.24,4.0,0.46,1
urban,8.71,5.0,,1
urban,10.0,3.0,0.36,1
rural,1.4,2.0,0.28,0
rural,7.87,3.0,0.69,1
urban,4.15,9.0,0.4,1
rural,8.0,7.0,0.57,1
rural,7.26,5.0,0.2,1
urban,8.27,6.0,0.71,1
urban,6.0,6.0,0.97,1
rural,3.25,4.0,0.54,1
urban,6.1,4.0,0.52,1
urban,7.81,2.0,0.85,1
rural,9.03,7.0,0.15,1
urban,4.66,7.0,0.39,1
urban,9.05,4.0,0.17,1
urban,5.7,4.0,0.55,1
urban,7.72,5.0,0.62,1
urban,5.98,6.0,,1
rural,7.36,4.0,0.83,1
rural,8.78,5.0,,1
urban,4.55,6.0,,0
rural,5.64,5.0,0.63,1
urban,7.37,4.0,0.57,1
urban,10.0,9.0,0.05,1
urban,5.27,5.0,0.02,1
urban,10.0,8.0,0.85,1
urban,10.0,7.0,,1
rural,6.81,6.0,0.35,1
rural,6.4,5.0,0.45,1
urban,5.62,12.0,0.04,1
rural,6.86,6.0,0.96,1
urban,4.19,3.0,0.1,0
rural,6.85,4.0,0.97,1
urban,9.99,11.0,0.71,1
rural,5.78,2.0,0.94,1
urban,6.52,4.0,0.05,1
urban,3.6,4.0,0.45,1
rural,7.75,7.0,0.95,1
rural,,6.0,0.65,0
urban,,4.0,0.55,0
rural,6.57,10.0,0.67,1
urban,6.41,1.0,0.19,1
rural,8.0,3.0,0.75,1
rural,,6.0,0.28,0
urban,7.63,5.0,0.28,1
rural,7.43,,0.6,0
rural,9.25,6.0,0.02,1
urban,8.35,2.0,0.05,1
rural,7.39,8.0,0.02,1
urban,,8.0,0.77,0
urban,,0.0,0.03,0
urban,9.61,6.0,,1
urban,,2.0,0.61,0
urban,3.32,5.0,0.47,0
rural,9.61,4.0,0.37,1
urban,7.27,5.0,0.36,1
urban,6.9,3.0,0.86,1
rural,7.56,3.0,0.08,1
rural,6.31,5.0,0.93,1
rural,7.45,8.0,0.24,1
urban,5.82,5.0,0.49,1
urban,9.55,1.0,0.96,1
urban,6.77,2.0,0.64,1
rural,6.23,3.0,0.25,1
urban,5.15,,0.98,0
rural,7.54,7.0,0.81,1
urban,7.37,4.0,0.31,1
rural,7.78,4.0,0.6,1
urban,4.95,6.0,0.56,0
urban,3.8,7.0,0.62,0
urban,8.25,6.0,0.12,1
rural,9.97,6.0,0.65,1
rural,4.95,8.0,0.21,1
urban,10.0,,0.32,0
urban,7.57,7.0,0.55,1
urban,6.99,5.0,0.21,1
rural,6.2,4.0,0.89,1
urban,4.23,4.0,0.42,0
urban,8.98,1.0,0.17,1
urban,5.45,4.0,0.06,1
urban,5.44,6.0,0.78,1
rural,8.98,9.0,0.83,1
rural,3.23,5.0,0.08,1
urban,3.95,2.0,0.54,1
urban,6.96,4.0,0.65,1
rural,7.59,5.0,0.91,1
rural,7.97,7.0,0.05,1
urban,6.4,3.0,0.35,1
rural,10.0,2.0,0.12,1
rural,6.54,6.0,0.43,1
urban,6.54,4.0,0.37,1
rural,5.41,6.0,0.6,1
rural,7.25,7.0,0.68,1
urban,8.23,5.0,0.96,1
urban,9.41,8.0,0.16,1
rural,4.02,1.0,0.8,0
urban,6.51,2.0,0.85,1
rural,7.89,6.0,0.57,1
urban,8.17,2.0,0.79,1
rural,7.01,5.0,0.35,1
urban,8.08,7.0,,1
rural,5.38,5.0,0.15,1
rural,10.0,2.0,0.17,1
rural,8.99,7.0,0.88,1
urban,4.31,4.0,0.96,1
urban,4.85,6.0,0.4,1
rural,4.91,4.0,0.66,1
rural,8.36,8.0,0.3,1
urban,4.43,4.0,0.45,1
urban,6.34,6.0,0.62,1
urban,7.91,2.0,0.86,1
urban,6.87,8.0,0.43,1
urban,7.52,5.0,0.7,1
urban,4.87,5.0,0.25,0
rural,8.19,5.0,0.33,1
urban,5.77,3.0,,1
rural,6.35,5.0,0.87,1
urban,7.48,7.0,0.12,1
urban,7.21,4.0,0.77,1
rural,7.05,3.0,0.63,1
rural,5.5,8.0,0.65,1
urban,6.4,2.0,0.88,1
rural,7.0,4.0,0.53,1
rural,4.25,7.0,0.08,1
rural,6.07,6.0,0.93,1
rural,7.78,6.0,0.34,1
urban,4.45,4.0,0.03,1
rural,9.31,3.0,0.53,1
urban,9.54,,0.36,0
urban,4.51,5.0,0.91,0
urban,9.72,2.0,0.51,1
urban,6.71,5.0,0.05,1
rural,7.84,9.0,0.24,1
rural,6.01,6.0,0.22,1
urban,,2.0,0.76,0
urban,7.81,5.0,0.07,1
urban,5.37,,0.33,0
urban,4.67,6.0,0.67,1
rural,4.08,6.0,0.61,1
urban,7.38,4.0,0.65,1
rural,8.14,8.0,,1
urban,8.3,6.0,0.18,1
urban,6.76,6.0,0.67,1
urban,4.69,5.0,0.95,0
urban,,4.0,0.04,0
rural,9.3,4.0,0.36,1
rural,6.03,4.0,0.29,1
rural,7.29,7.0,0.15,1
urban,4.85,2.0,0.26,0
urban,7.67,7.0,0.03,1
rural,6.08,8.0,0.64,1
rural,9.09,4.0,0.61,1
urban,8.55,2.0,0.5,1
urban,6.01,10.0,0.31,1
rural,6.75,5.0,0.98,1
urban,5.9,3.0,0.62,1
urban,4.16,3.0,0.89,1
rural,5.29,5.0,0.31,1
urban,7.4,,0.76,0
rural,7.65,4.0,0.01,1
urban,7.3,2.0,0.68,1
rural,6.4,4.0,0.75,1
urban,,4.0,0.27,0
rural,7.13,6.0,1.0,1
rural,8.41,6.0,0.5,1
rural,3.45,5.0,0.37,1
rural,0.0,3.0,0.18,0
urban,7.57,14.0,0.16,1
urban,4.15,6.0,0.21,0
rural,6.58,6.0,0.54,1
urban,6.4,4.0,0.54,1
urban,10.0,6.0,0.53,1
urban,7.8,6.0,0.86,1
urban,7.33,6.0,0.0,1
urban,8.67,11.0,0.27,1
rural,7.74,4.0,0.89,1
rural,6.08,6.0,0.1,1
rural,9.14,3.0,0.19,1
rural,4.78,1.0,0.33,0
urban,7.65,,0.81,0
urban,3.9,6.0,0.58,0
rural,7.41,4.0,0.56,1
urban,7.39,2.0,0.93,1
urban,10.0,5.0,0.49,1
rural,3.87,6.0,0.95,1
urban,5.8,7.0,0.13,1
rural,8.65,10.0,0.4,1
rural,7.67,3.0,0.82,1
urban,7.36,6.0,0.15,1
urban,5.09,5.0,0.18,1
rural,5.82,5.0,0.38,1
rural,9.49,4.0,0.93,1
urban,,,0.18,0
rural,7.75,8.0,0.96,1
rural,6.77,5.0,0.67,1
rural,4.63,,0.47,0
urban,8.87,3.0,0.02,1
rural,8.01,3.0,0.52,1
urban,10.0,3.0,0.42,1
rural,4.97,7.0,0.79,1
urban,8.65,2.0,0.56,1
rural,4.38,6.0,0.97,1
urban,7.31,3.0,0.11,1
urban,8.95,,0.91,0
urban,2.86,8.0,0.38,0
rural,6.59,4.0,0.51,1
rural,5.87,5.0,,1
rural,5.6,4.0,0.68,1
urban,7.77,3.0,0.95,1
rural,9.24,3.0,0.98,1
urban,6.73,4.0,0.64,1
rural,7.41,11.0,0.56,1
urban,,6.0,0.25,0
urban,7.0,3.0,0.28,1
urban,4.82,11.0,0.25,1
rural,9.22,6.0,0.78,1
rural,7.59,5.0,0.62,1
rural,7.79,4.0,0.74,1
urban,5.39,5.0,,1
urban,6.08,1.0,0.89,1
rural,,7.0,0.15,0
rural,3.93,,0.88,0
rural,3.62,8.0,0.65,0
urban,5.8,4.0,0.92,1
urban,8.05,9.0,0.93,1
urban,5.69,3.0,0.43,1
urban,4.96,3.0,0.71,1
urban,5.37,,0.83,0
rural,6.09,4.0,0.26,1
urban,6.29,3.0,0.49,1
urban,10.0,6.0,0.26,1
urban,9.11,7.0,0.09,1
urban,9.05,5.0,0.7,1
urban,9.34,5.0,0.57,1
rural,5.0,6.0,0.4,1
urban,4.56,4.0,0.21,0
urban,4.79,2.0,0.19,1
urban,9.67,4.0,0.28,1
rural,5.91,8.0,,1
rural,4.5,5.0,0.96,1
rural,6.14,8.0,,1
urban,6.52,4.0,0.07,1
rural,7.54,5.0,0.83,1
urban,7.5,4.0,0.76,1
urban,5.34,8.0,0.94,1
rural,8.37,2.0,0.47,1
urban,5.72,3.0,0.51,1
urban,6.69,3.0,0.57,1
urban,8.37,5.0,0.55,1
rural,5.72,4.0,0.31,1
urban,5.86,5.0,0.16,1
urban,8.18,9.0,0.71,1
rural,5.28,6.0,0.91,1
urban,6.23,3.0,0.67,1
urban,8.11,4.0,0.83,1
rural,10.0,5.0,,1
urban,8.21,5.0,0.51,1
urban,7.95,9.0,0.99,1
urban,8.06,8.0,0.99,1
urban,4.85,7.0,0.61,1
urban,7.23,5.0,0.37,1
rural,6.94,3.0,0.37,1
rural,7.64,3.0,0.67,1
rural,7.23,9.0,0.22,1
rural,7.76,7.0,0.98,1
urban,6.38,7.0,0.71,1
urban,7.12,5.0,0.16,1
urban,4.54,5.0,0.36,0
urban,6.36,6.0,0.22,1
urban,9.78,5.0,0.09,1
rural,7.64,3.0,0.64,1
rural,6.96,4.0,0.1,1
urban,10.0,4.0,0.4,1
urban,4.28,5.0,0.67,0
urban,4.78,6.0,0.16,1
rural,10.0,1.0,0.88,1
urban,7.09,5.0,0.18,1
urban,6.51,7.0,0.61,1
urban,,4.0,0.92,0
rural,7.9,8.0,0.1,1
urban,8.09,4.0,0.1,1
rural,4.81,7.0,0.13,1
rural,6.72,1.0,0.36,1
rural,6.33,4.0,0.67,1
rural,7.51,5.0,0.54,1
rural,4.76,5.0,0.3,0
rural,9.5,6.0,0.62,1
urban,8.83,,0.45,0
urban,6.27,2.0,0.35,1
urban,6.57,5.0,0.38,1
rural,6.73,6.0,0.36,1
urban,5.44,6.0,,1
rural,,4.0,0.38,0
rural,6.46,3.0,,1
rural,10.0,4.0,0.32,1
urban,8.89,6.0,0.22,1
